Name,Affiliation,Google Scholar Profile ,ORCID Profile ,Research Gate Profile,Resarch Interests/Focus,Tags,Collaborators,Notes
Iris Carlton-LaNey,University of North Carolina--Chapel Hill,n/a,n/a,https://www.researchgate.net/profile/Iris-Carlton-Laney,Social Welfare History; Aging in Rural Communities,,,
Din Chen,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?hl=en&user=I0yhzg0AAAAJ,https://orcid.org/0000-0002-1123-027X,https://www.researchgate.net/profile/Ding-Geng-Chen-2,Quantitative Intervention Research and Methods; Bayesian Methods for Evidence-based Intervention Research; Multi-level Modelling and Structural Equation Modelling; Systematic Review and Meta-analysis; Child Social Welfare,,,
Gina Chowa,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=kX0AnpAAAAAJ&hl=en&oi=ao,https://orcid.org/0000-0002-1789-4827,https://www.researchgate.net/profile/Gina-Chowa,Global Social Development; Economic Security; Workforce Development; Social Protection and Financial Inclusion,,,
Trenette Goings,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=_w18iEYAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0001-6992-4824,https://www.researchgate.net/profile/Trenette-Clark,Health Disparities; Prevention Science; Substance Use Prevention; Adolescents; Emerging Adults,,,
Rachel W. Goode,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=MS2NDBoAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-1358-3917,https://www.researchgate.net/profile/Rachel-Goode,Behavioral Intervention; Disordered Eating Behaviors; Racial Justice; Social Justice and Confronting Oppression,,,
Michael Lambert,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?hl=en&user=dTJJq8MAAAAJ,,https://www.researchgate.net/profile/Michael-Lambert,Measurement of Behavior; Treatment of Trauma,,,
Rainier Masa,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=ABAe3d0AAAAJ&hl=en&inst=9897619243961157265&oi=ao,,,HIV Prevention and Treatment; Food Security; Stigma; Adolescents and Young Adults; Positive Youth Development,,,
Bonnie Duran,University of Washington,https://scholar.google.com/citations?user=Q0nPRbQAAAAJ&hl=en&inst=9897619243961157265&oi=ao,,https://www.researchgate.net/profile/Bonnie-Duran-3,"American Indian and Alaska Native health, mental health, alcohol and substance abuse epidemiology and intervention, American Indian and Alaska Native treatment seeking and barriers to care, Community Based Participatory research methods and measures,  Mindfulness based and other southern epistemic Approaches to wellbeing, and resilience ",,,
Amelia Gavin,University of Washington,n/a,https://orcid.org/0000-0003-2200-2368,https://www.researchgate.net/profile/Amelia-Gavin,"African-American women and depression, Maternal depression during pregnancy, Racial disparities in birth outcomes, Lifecourse approach to health disparities, Racial discrimination across the lifecourse, Post-traumatic Stress Disorder",,,
Abril N. Harris,University of Washington,n/a,https://orcid.org/0000-0001-9738-8141,https://www.researchgate.net/profile/Abril-Harris,"Structural violence and group-based oppression, Anti-racist practice, Socialization and social control, Critical and feminist theories",,,
David Huh,University of Washington,https://scholar.google.com/citations?user=WKRevNQAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-6357-4883,https://www.researchgate.net/profile/David-Huh,"Quantitative Methodology for Clinical Trials, Meta-Analysis and Integrative Data Analysis, Health Disparities Research, Behavioral Health Intervention, Chronic Illness (HIV/AIDS, cardiovascular disease, diabetes), Alcohol Use Intervention, Substance Abuse Prevention, Suicide Prevention",,,
Michelle Johnson-Jennings,University of Washington,https://scholar.google.com/citations?user=fgNcAq0AAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0003-0723-6588,https://www.researchgate.net/profile/Michelle-Johnson-Jennings,"Indigenous Health and Psychology, Epidemiology, Addiction Medicine, Psychological and Behavioral Aspects of Healthcare",,,
Kristian Jones,University of Washington,https://scholar.google.com/citations?user=4PMu1woAAAAJ&hl=en&inst=9897619243961157265&oi=ao,,,"Youth mentoring, Youth development among Black youth, Prevention and early intervention for marginalized youth, Community-based research, Adolescent mental health, Child welfare",,,
Hyun-Jun Kim,University of Washington,https://scholar.google.com/citations?user=QRKrS-UAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-6381-0487,https://www.researchgate.net/profile/Hyun-Jun-Kim-10,"Aging and health disparities, Intersectionality of sexuality, gender, race and ethnicity, Social isolation and social relations, Support networks, Cognitive impairment and dementia",,,
Jane J. Lee,University of Washington,https://scholar.google.com/citations?user=kmgVd1gAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-7047-9315,https://www.researchgate.net/profile/Jane-Lee-61,"Immigration and Health, Racial and Ethnic Health Disparities, HIV/AIDS Prevention, Development of Evidence-based Interventions, Community-based Research  ",,,
E. Roberto Orellana,University of Washington,https://scholar.google.com/citations?user=UQZWdRIAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0003-4444-2321,https://www.researchgate.net/profile/E-Roberto-Orellana,"Substance abuse and HIV interventions among health-disparities populations, Trauma-related risk behaviors, Indigenous and Latinx health, Impact of COVID-19 on racial/ethnic minority populations, Social and structural determinants of health among marginalized communities",,,
Michael S. Spencer,University of Washington,https://scholar.google.com/citations?user=gZ8-Wb4AAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-6182-5706,https://www.researchgate.net/profile/Michael-Spencer-10,"Native Hawaiian and Pacific Islander health and wellness, Community-based, participatory research, Preservation of indigenous cultural practices",,,
Emiko A. Tajima,University of Washington,n/a,https://orcid.org/0000-0003-2041-131X,https://www.researchgate.net/scientific-contributions/Emiko-A-Tajima-39199187,"Domestic violence (DV), Child maltreatment, Childhood exposure to intimate partner violence, Immigrant and refugee populations,  Measurement issues in DV and child maltreatment research, Child welfare",,,
David Takeuchi,University of Washington,n/a,https://orcid.org/0000-0003-2315-1373,https://www.researchgate.net/profile/David-Takeuchi-2,"Ethnic minority mental health, Health disparities, Research design and data analysis",,,
Edwina S. Uehara,University of Washington,n/a,n/a,n/a,"Impact of high-violence urban environments on mental health, Services to low-income and minority families with chronically mentally ill members, Financing and organization of mental health services, Social networks and social support",,,"Published, but no profiles"
Maya Williams,University of Washington,https://scholar.google.com/citations?hl=en&user=vLsIpugAAAAJ,https://orcid.org/0000-0002-3933-3633,https://www.researchgate.net/profile/Maya-Williams-6,"Racial identity and social equity, Skin-tone bias (colorism), African American, Afro-Latin, Afro-Caribbean adolescents",,,
Rocío Calvo,Boston College,https://scholar.google.com/citations?hl=en&user=XILtUPUAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-6303-9215,https://www.researchgate.net/profile/Rocio-Calvo,"Immigrant incorporation, happiness, Latinx populations, social services",,,
Praveen Kumar,Boston College,https://scholar.google.com/citations?hl=en&user=vWLh2ngAAAAJ,n/a,https://www.researchgate.net/profile/Praveen-Kumar-108,Clean energy interventions; energy poverty; environment and development interactions; community development; environmental justice,,,
Robert O. Motley Jr.,Boston College,https://scholar.google.com/citations?hl=en&user=jtYzI4AAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-9963-0883,https://www.researchgate.net/profile/Robert-Motley-Jr,"The intersection of racism, violence, and trauma for Black emerging adults ages 18-29 and associated adverse mental and behavioral outcomes",,,
"Alejandro Olayo-Méndez, S.J.",Boston College,n/a,https://orcid.org/0000-0001-5074-652X,https://www.researchgate.net/profile/Alejandro-Olayo-Mendez,"Migration, Refugees, and Humanitarian Interventions",,,
Shanta Pandey,Boston College,https://scholar.google.com/citations?hl=en&user=FxbsOqoAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-9461-5118,https://www.researchgate.net/profile/Shanta-Pandey,"Women’s empowerment, gender equity, maternal and child health, social welfare policy",,,
Tyrone M. Parchment,Boston College,https://scholar.google.com/citations?hl=en&user=nrhE-6YAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-3554-6105,https://www.researchgate.net/profile/Tyrone-Parchment,Male caregiving/fathers; family behavioral health; child/adolescent behavioral/mental health; global research; evidence-based family interventions; implementing evidence-based family-based interventions; mixed methods research; clinical practice with individuals and groups; research methods; anti-oppressive social work practice,,,
María Piñeros-Leaño,Boston College,https://scholar.google.com/citations?user=6z83CdAAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-7057-8316,https://www.researchgate.net/profile/Maria-Pineros-Leano,Maternal and child mental and physical health; risk factors of maternal depression and mood disorders; social-contextual antecedents to childhood obesity; and prevention trials for childhood obesity,,,
Indrani Saran,Boston College,https://scholar.google.com/citations?hl=en&user=o6PTcxgAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-7416-652X,n/a,"Behavioral economic theories applied to health decision-making; Evaluating complex health interventions, particularly in resource-constrained settings; and Quantitative research methods",,,
Ce Shen,Boston College,n/a,n/a,https://www.researchgate.net/profile/Ce-Shen-2,"Cross-national research on social development, including governance and corruption, infant/child mortality, maternal mortality, women’s status, and social welfare; Aging and social welfare policy in international and cross-cultural context; Survey Research; Program Evaluation; Comparative education for primary and secondary school students; Various Quantitative Research Methods including structural equation modeling, hierarchical linear modeling, longitudinal data analysis and other multivariate analysis methods.",,,
Gautam N. Yadama,Boston College,https://scholar.google.com/citations?hl=en&user=-snPw60AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-5907-1132,https://www.researchgate.net/profile/Gautam-Yadama,"Poverty and environment dynamics, and interventions to address associated social, economic, environment, and health outcomes",,,
Dawn Belkin Martinez,Boston University ,https://scholar.google.com/citations?hl=en&user=g5aXFtMAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-2197-5179,https://www.researchgate.net/profile/Dawn-Belkin-Martinez,"Social justice in clinical practice, The Liberation Health framework for social work practice, Family therapy, Clinical practice with the Latinx community, Racial Justice, Community organizing as a therapeutic intervention, Substance misuse with adolescents and young adults",,,
Phillipe Copeland,Boston University ,https://scholar.google.com/citations?hl=en&user=IJzGDy4AAAAJ&inst=1297495080519272923,n/a,n/a,"Theories of Justice, Racial Justice, #BlackLivesMatter, Abolition of Mass Incarceration, Adult Behavioral Health",,,
Melvin Delgado,Boston University ,https://scholar.google.com/citations?user=a590EGEAAAAJ&hl=en&inst=1297495080519272923&oi=ao,n/a,https://www.researchgate.net/profile/Melvin-Delgado,"Latino and other marginalized urban population groups, Youth development-youth-led research and macro-practice, Community-capacity enhancement, Non-traditional urban settings",,,
Jorge Delva,Boston University ,n/a,n/a,https://www.researchgate.net/profile/Jorge-Delva,"Addictions and mental health, Behavioral health, Cross-cultural research, survey research, and community-based participatory research",,,
Yoonsook Ha,Boston University ,https://scholar.google.com/citations?user=-t2Vu6UAAAAJ&hl=en&inst=1297495080519272923&oi=ao,n/a,https://www.researchgate.net/profile/Yoonsook-Ha,"Child and family policy, Early care and education, Equitable access to safety-net programs and its impacts on the well-being of children and families, Family and work balance among low-income working families, Immigrant families, At-risk youth and their access to resources",,,
Hyeouk Chris Hahm,Boston University ,https://scholar.google.com/citations?user=06wYre0AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-6622-7628,https://www.researchgate.net/profile/Hyeouk-Hahm,"HIV/STI infections among Asian Americans, acculturation, health risk behaviors (tobacco use, binge drinking, sexual activity), Health care utilization among Asian American adolescents and sexual minority populations, Health status and health care utilization among people with mental illness",,,
Daniel Jacobson López,Boston University ,https://scholar.google.com/citations?user=HFcp5IgAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-6407-8590,n/a,"Violence Against Gay Black and/or Latino Men, Sexual Violence, LGBT Persons of Color, Public Health and Social Work, Effects of COVID-19 on LGBT Populations and People Living with HIV/AIDS (PLWHA)",,,
Christina Lee,Boston University ,https://scholar.google.com/citations?hl=en&user=eb2aBocAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-2278-9888,https://www.researchgate.net/profile/Christina-Lee-10,"Health inequities, Social and structural determinants of risky health behaviors, Addiction research and treatment, Mechanisms of behavior change in addictions treatment, Optimizing behavioral treatments for use in the community, Interdisciplinary interventions and community collaboration",,,
Margaret Lombe,Boston University ,https://scholar.google.com/citations?user=Wq9r-MMAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-9704-6982,https://www.researchgate.net/profile/Margaret-Lombe,"International Socioeconomic Development (capacity building), Poverty, Social Exclusion/Inclusion, Global Health, Food Security and Low-Resource Households, HIV/AIDS and Youth, Rights-Based Approaches, Cross-Cultural Research, Evaluation Research",,,
Judith C. Scott,Boston University ,https://scholar.google.com/citations?user=mAgc9s0AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-1561-9354,https://www.researchgate.net/profile/Judith-Scott-7,"Childhood and adolescent trauma related to physical maltreatment and racial discrimination experiences, Physical discipline, Child and adolescent mental health, Racially and ethnically diverse children and families, Program evaluation",,,
David B. Miller,Case Western Reserve University,https://scholar.google.com/citations?user=QeQJx7kAAAAJ&hl=en&oi=ao&inst=1297495080519272923,https://orcid.org/0000-0002-0387-9781,https://www.researchgate.net/profile/David-Miller-87,awareness and knowledge of African American males regarding prostate cancer; and effects of chronic stress on adolescents and young adults,,,
Tamara J. Cadet,University of Pennsylvania,https://scholar.google.com/citations?hl=en&user=pw6L23QAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-4660-8009,https://www.researchgate.net/profile/Tamara-Cadet,"Health social work
Health literacy
Shared-decision-making
Social determinants of health
Evidence-based health promotion interventions in the community
Facilitators and barriers to reducing disparities in preventative health behaviors
Advancing health equity
Health care service utilization among vulnerable populations with a focus on oncology and gerontology",,,
Yoosun Park,University of Pennsylvania,https://scholar.google.com/citations?hl=en&user=C9MnsrEAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-5061-2553,https://www.researchgate.net/profile/Yoosun-Park,"Critical history of social work
Historical and contemporary immigration
Discourse Analysis
Critical theories and methodologies for social work research and education",,,
Doris F. Chang,University of New York,https://scholar.google.com/citations?hl=en&user=FSfF8R8AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-3012-6881,https://www.researchgate.net/profile/Doris-Chang-3,Improving well-being of racial and ethnic minorities; Asian American mental health; mindfulness and other contemplative approaches to the development of critical consciousness in clinical and educational settings,,,
Ernest Gonzales,University of New York,https://scholar.google.com/citations?hl=en&user=IP3DxhcAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-6182-1326,https://www.researchgate.net/profile/Ernest-Gonzales-2,"Gerontology and productive aging: employment, volunteering, and caregiving; health equity; discrimination and prejudice; intergenerational research; cross-national aging research; social policy",,,
Wen-Jui Han,University of New York,https://scholar.google.com/citations?hl=en&user=KnTKjAMAAAAJ&inst=1297495080519272923,n/a,https://www.researchgate.net/profile/Wen-Jui-Han,"Social welfare policy, with an emphasis on children and families; effects of maternal employment and child care on children's cognitive and social and emotional outcomes; impact of welfare reform and child care subsidies on families; precarious parental work, parental work schedules, and child well-being; cognitive and socio-emotional outcomes of children in immigrant families; quantitative research methods; use of large-scale longitudinal data",,,
Robert L. Hawkins,North Carolina State University,n/a,https://orcid.org/0000-0002-2694-7644,https://www.researchgate.net/profile/Robert-Hawkins-5,Poverty; social capital; family and children's policy; social policy analysis; diversity and racism; community-participatory research; qualitative methods; ethnographic research,,,
"Kirk ""Jae"" James",University of New York,https://scholar.google.com/citations?hl=en&user=qJBjvjQAAAAJ&inst=1297495080519272923,n/a,n/a,"Oppression; anti-oppressive practice; mass incarceration and the intersection of race, class, power, privilege, immigration and critical pedagogy; trauma and healing modalities for impacted people; human rights and social justice frameworks",,,
Minchao Jin,University of New York,https://scholar.google.com/citations?hl=en&user=Bo8JYHIAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-5210-4096,https://www.researchgate.net/profile/Minchao-Jin,Social development; poverty; financial social work; asset building; program evaluation; child and maternal nutrition; quantitative methods,,,
Lance Keene,University of New York,https://scholar.google.com/citations?hl=en&user=bmPqIv4AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-0597-9276,https://www.researchgate.net/profile/Lance-Keene-2,"Intersections of race, gender, and sexuality; sexual minority men; urban LGBTQ youth and young adult development; culturally congruent interventions; and HIV prevention and treatment",,,
Linda Lausell Bryant,University of New York,https://socialwork.nyu.edu/faculty-and-research/our-faculty/linda-lausell-bryant.html,n/a,https://www.researchgate.net/profile/Linda-Lausell-Bryant,Nonprofit management and leadership for social work professionals; macro social work practice for systems change; child welfare and youth development; college-going among foster care youth; teen pregnancy prevention and development of parenting competencies in teen parents; conflict resolution and mediation; clinical practice with Latino youth and families; diversity and inclusion,,,
Michael A. Lindsey,University of New York,https://scholar.google.com/citations?hl=en&user=V6s-VXoAAAAJ&inst=1297495080519272923,n/a,https://www.researchgate.net/profile/Michael-Lindsey-7,Child and adolescent mental health services research; adolescent depression; adolescent suicide; school mental health; adolescent risk behaviors,,,
Ifrah Magan,University of New York,n/a,n/a,n/a,"The intersections of race, gender, religion, and class in refugee resettlement and integration; access to health and mental health services amongst Muslim refugees; national and international immigration policies; community‐centered research models; international social work; and indigenous methodologies.",,,"Published, but no profiles"
Darcey Merritt,University of New York,https://scholar.google.com/citations?hl=en&user=dEioki8AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-6286-1872,https://www.researchgate.net/profile/Darcey-Merritt-3,"Public child welfare system; addressing issues that include child maltreatment, parental fears and concerns, and optimal parenting in low socio-economic and under resourced environments; understanding parental perspectives regarding the etiology of child neglect and the impact on parent and child well being; domestic violence; correlates of specific types of child maltreatment; decision making processes of neglectful parenting behavior",,,
Kiara L. Moore,University of New York,https://scholar.google.com/citations?user=i4HN_zEAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-2946-6483,https://www.researchgate.net/profile/Kiara-Moore,Mental health disparities and intervention research,,,
Rohini Pahwa,University of New York,https://scholar.google.com/citations?user=sh0K1YcAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-1730-5623,https://www.researchgate.net/profile/Rohini-Pahwa,"Serious mental illness; mental health services; cross-cultural and cross-national research; community integration; stigma; health vulnerabilities in people with serious mental illness; social network analysis; qualitative, quantitative, and mixed methods",,,
Ramesh Raghavan,University of New York,https://scholar.google.com/citations?hl=en&user=wUX956AAAAAJ&inst=1297495080519272923,n/a,https://www.researchgate.net/profile/Ramesh-Raghavan,Mental health services research with attention to the needs of vulnerable children in the child welfare system,,,
Qingwen Xu,University of New York,https://scholar.google.com/citations?hl=en&user=qsLsFo0AAAAJ&inst=1297495080519272923,n/a,https://www.researchgate.net/profile/Qingwen-Xu-3,Community behaviors and mechanisms; innovative community practice; global social work; culturally sensitive and locally relevant practice; ethnic minority groups of people; migrants; and older adults,,,
Shantha Balaswamy,Ohio State University,https://scholar.google.com/citations?hl=en&user=jcNb0LkAAAAJ&inst=1297495080519272923,n/a,https://www.researchgate.net/profile/Shantha-Balaswamy,"Social policy for older adults
Service delivery systems for older adults and victims of violence
Evaluation & assessment methods",,,
Nancy Mendoza,Ohio State University,n/a,n/a,https://www.researchgate.net/profile/Nancy-Mendoza-4,"Adult development and aging (gerontology)
Grandparents raising grandchildren
Family caregiving
Death, dying, and grief
Cultural competence
Mixed methods research
Risk and resilience",,,
Cecilia Mengo,Ohio State University,https://scholar.google.com/citations?hl=en&user=quMbL8wAAAAJ&inst=1297495080519272923,n/a,https://www.researchgate.net/profile/Cecilia-Mengo,"Intimate partner violence
College sexual assault
Teen dating violence
Gender based violence in developing countries
IPV and HIV AIDs- The Nexus
Violence prevention
Victim services
Women empowerment issues",,,
Jacquelyn Meshelemiah,Ohio State University,https://csw.osu.edu/about/faculty-staff/faculty-directory/meshelemiah-jacquelyn-ph-d/,https://orcid.org/0000-0001-9840-9258,https://www.researchgate.net/profile/Jacquelyn-Meshelemiah,"Human trafficking
Social justice
Human rights",,,
Njeri Kagotho,Ohio State University,https://scholar.google.com/citations?hl=en&user=4qqbqM0AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-1735-971X,https://www.researchgate.net/profile/Njeri-Kagotho-2,"Institutions and asset building
Social & economic development in sub-Saharan Africa (SSA)
Household economic security—wealth creation, preservation, and leveraging in low-income households",,,
Sehun Oh,Ohio State University,https://scholar.google.com/citations?hl=en&user=_ZKYafQAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-8889-2298,https://www.researchgate.net/profile/Sehun-Oh-4,"Children, youth, and families
Social and economic inequality
Behavioral epidemiology (esp. substance use and misuse)
Antipoverty policies",,,
Camille Quinn,Ohio State University,https://scholar.google.com/citations?hl=en&user=1TbdBoYAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-0876-1851,https://www.researchgate.net/profile/Camille-Quinn-2,"Adolescents and emerging adults
Girls involved with the juvenile justice system
Individual and structural interventions to reduce mental health disparities (trauma, substance use, depression and suicidal thoughts and behavior) for juveniles involved with or at risk of involvement with the justice system
Social determinants of health and race based theories (e.g., intersectionality, critical race theory)
Mixed methods research
Community-based participatory research",,,
Sharvari Karandikar,Ohio State University,https://scholar.google.com/citations?hl=en&user=jImeM2UAAAAJ,https://orcid.org/0000-0002-4010-618X,https://www.researchgate.net/profile/Sharvari-Karandikar-4,"Global sex work research
Maternal & reproductive health research
Sex trafficking research
Global social work research
Gender-based violence
Commercial sex work & HIV/AIDS
Surrogacy & medical tourism
Qualitative methodology",,,
Rebecca Kim,Ohio State University,https://scholar.google.com/citations?user=BakDztcAAAAJ&hl=en&inst=1297495080519272923&oi=sra,n/a,https://www.researchgate.net/profile/Rebecca-Kim-5,"Child poverty
Effectiveness of anti-poverty programs in the US
Policy analysis of alternative policy measures
Program evaulation
Child outcomes of children from immigrant families",,,
Smitha Rao,Ohio State University,https://scholar.google.com/citations?hl=en&user=MAvDIFkAAAAJ,https://orcid.org/0000-0002-6788-001X,https://www.researchgate.net/profile/Smitha-Rao,"Contextual vulnerability
Natural disasters
Climate & environmental justice
Environment-Development-Social policy
Energy poverty",,,
Joyce Lee,Ohio State University,https://scholar.google.com/citations?hl=en&user=KvV3kAIAAAAJ,https://orcid.org/0000-0003-2805-9277,https://www.researchgate.net/profile/Joyce-Lee-10,"Child maltreatment prevention
Foster children's health and well-being
Child welfare systems
Fathers and father involvement
Co-parenting relationships",,,
Mo Yee Lee,Ohio State University,https://scholar.google.com/citations?hl=en&user=ojB14LIAAAAJ,https://orcid.org/0000-0002-0071-0307,https://www.researchgate.net/profile/Mo-Yee-Lee,"Child mental health
Intervention research
Integrative Family and Systems Treatment (I-FAST)
Solution-focused brief treatment
Integrative body-mind-spirit social work practice",,,
Susan Yoon,Ohio State University,https://scholar.google.com/citations?hl=en&user=hVHmdVwAAAAJ,https://orcid.org/0000-0003-2318-2823,https://www.researchgate.net/profile/Susan-Yoon-2,"Child maltreatment
Resilience
Childhood trauma and psychopathology
Adolescent substance use
Fathers and fathering",,,
Arati Maleku,Ohio State University,https://scholar.google.com/citations?hl=en&user=jjI9FdYAAAAJ,https://orcid.org/0000-0001-9233-9690,https://www.researchgate.net/profile/Arati-Maleku,"Human migration and social demography
Immigrant well-being and inclusion
Community resilience
Transformative research practice
Mixed methods research",,,
Evaon Wong Kim,University of California--Los Angeles,n/a,n/a,https://www.researchgate.net/profile/Evaon-Wong-Kim,cancer survivorship and quality of life issues confronting Chinese immigrant breast cancer patients,,,
Ga-Young. Choi,University of California--Los Angeles,https://scholar.google.com/citations?user=QuK2frMAAAAJ&inst=9897619243961157265,n/a,https://www.researchgate.net/scientific-contributions/Ga-Young-Choi-2149361296,domestic violence/ intimate partner violence (IPV); secondary traumatic stress of helping professionals working with the survivors of IPV often in organizational contexts; and the wellbeing of ethnic minorities and immigrants focusing on Asian Americans and Pacific Islanders,,,
Maria Y. Hernandez,University of California--Los Angeles,n/a,n/a,n/a,"mental health disparities and culturally competent treatment for underserved groups. Her current research interests include consumer health informatics, use of social media to evaluate and disseminate mental health literacy, evaluations of technological tools to enhance patient and provider communication, and analysis of health policies impacting individuals living with serious mental illness",,,"Publishing, but no profiles"
Anh-Luu Huynh-Hohnbaum,University of California--Los Angeles,n/a,https://orcid.org/0000-0003-3227-3372,https://www.researchgate.net/profile/Anh-Luu-Huynh-Hohnbaum,"juvenile delinquency, parental incarceration, multiracial families and cross-cultural competency",,,
Siyon Rhee,University of California--Los Angeles,n/a,https://orcid.org/0000-0001-8197-3266,https://www.researchgate.net/profile/Siyon-Rhee,"how systems-ecological factors including race/ethnicity, immigration, intergenerational disparities and multi-cultural practices influence health, mental health and families in the Asian American community",,,
Marah Curtis,University of Wisconsin--Madison,https://scholar.google.com/citations?user=dwCzHKYAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0001-8390-8142,https://www.researchgate.net/profile/Marah-Curtis,"how policies designed to improve the quality and stability of housing, or, that regularize income are effective in doing so as well as meeting broader goals such as decreasing economic hardship",,,
John Eason,University of Wisconsin--Madison,https://scholar.google.com/citations?user=_pMMmjMAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-2241-121X,https://www.researchgate.net/profile/John-Eason-4,"Communities and Urban Sociology, Economic Sociology, Qualitative Methods, Race and Ethnic Studies, Rural Sociology",,,
Jooyoung Kong,University of Wisconsin--Madison,https://scholar.google.com/citations?user=Q5kJRbsAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0001-5876-3551,https://www.researchgate.net/profile/Jooyoung-Kong-3,"whether and how adults with a history of childhood maltreatment continue to be distressed, or victimized, in relationships with the parent(s) who abused and/or neglected them or in the process of providing care to their abusive parent(s). Using a daily diary framework, she also investigates how childhood maltreatment negatively affects daily interactions and experiences in adulthood, which can lead to long-term, cumulative health risks. Her work involves quantitative analyses of large-scale longitudinal surveys",,,
Tawandra L. Rowell-Cunsolo,University of Wisconsin--Madison,n/a,https://orcid.org/0000-0003-3715-8998,https://www.researchgate.net/profile/Tawandra-Rowell-Cunsolo,"ways in which incarceration affects the health of vulnerable communities, especially in the areas of HIV risk behaviors and substance us",,,
Yang Xiong,University of Wisconsin--Madison,https://scholar.google.com/citations?user=nvMmdxAAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-0571-493X,https://www.researchgate.net/profile/Yang-Xiong-6,"dimensions, mechanisms and effects of assimilation and political incorporation on immigrants and immigrant groups’ life chances, collective action, and influence in the United States. He has developed research along two closely connected lines of inquiry: 1) investigating how and to what extent immigrants’ unique contexts of exit from their country of origin and reception within the U.S. affect their educational attainment, socioeconomic mobility, community formation, health adaptation, and political capital acquisition; and 2) investigating how and to what extent immigrants and immigrant groups are able to enter into and engage with the U.S. political system, its institutions and its ideologies.",,,
Vivien (Wen Li) Anthony,Rutgers University--New Brunswick,https://scholar.google.com/citations?hl=en&user=2iPQ3FgAAAAJ,https://orcid.org/0000-0003-1631-0161,n/a,"addictions, with a focus on gaming disorder, problem Internet use, Internet gambling, and other problematic behaviors related to technology use. Specifically, her research explores the etiology and risk mechanisms of problem Internet and video game use, develops and validates measures for these problems, and develops and evaluates interventions that can ameliorate these problems among adolescents and young adults",,,
Qiana L. Brown,Rutgers University--New Brunswick,n/a,https://orcid.org/0000-0003-1263-9971,https://www.researchgate.net/profile/Qiana_Brown,"substance use disorder epidemiology, maternal and child health, urban health, mental health, health disparities, social determinants of health, program evaluation, and prevention science",,,
Laura Cuesta,Rutgers University--New Brunswick,https://scholar.google.com/citations?hl=en&user=XcRfkiYAAAAJ,https://orcid.org/0000-0002-9240-7240,n/a,"family change, international approaches to child and family policy, and poverty and inequality",,,
