Name,Interests
Cecilia Mengo,"Intimate partner violence
College sexual assault
Teen dating violence
Gender based violence in developing countries
IPV and HIV AIDs- The Nexus
Violence prevention
Victim services
Women empowerment issues"
Jacquelyn Meshelemiah,"Human trafficking
Social justice
Human rights"
Njeri Kagotho,"Institutions and asset building
Social & economic development in sub-Saharan Africa (SSA)
Household economic security—wealth creation, preservation, and leveraging in low-income households"
Sehun Oh,"Children, youth, and families
Social and economic inequality
Behavioral epidemiology (esp. substance use and misuse)
Antipoverty policies"
Camille Quinn,"Adolescents and emerging adults
Girls involved with the juvenile justice system
Individual and structural interventions to reduce mental health disparities (trauma, substance use, depression and suicidal thoughts and behavior) for juveniles involved with or at risk of involvement with the justice system
Social determinants of health and race based theories (e.g., intersectionality, critical race theory)
Mixed methods research
Community-based participatory research"
Sharvari Karandikar,"Global sex work research
Maternal & reproductive health research
Sex trafficking research
Global social work research
Gender-based violence
Commercial sex work & HIV/AIDS
Surrogacy & medical tourism
Qualitative methodology"
Rebecca Kim,"Child poverty
Effectiveness of anti-poverty programs in the US
Policy analysis of alternative policy measures
Program evaulation
Child outcomes of children from immigrant families"
Smitha Rao,"Contextual vulnerability
Natural disasters
Climate & environmental justice
Environment-Development-Social policy
Energy poverty"
Joyce Lee,"Child maltreatment prevention
Foster children's health and well-being
Child welfare systems
Fathers and father involvement
Co-parenting relationships"
Mo Yee Lee,"Child mental health
Intervention research
Integrative Family and Systems Treatment (I-FAST)
Solution-focused brief treatment
Integrative body-mind-spirit social work practice"
Susan Yoon,"Child maltreatment
Resilience
Childhood trauma and psychopathology
Adolescent substance use
Fathers and fathering"
Arati Maleku,"Human migration and social demography
Immigrant well-being and inclusion
Community resilience
Transformative research practice
Mixed methods research"
Evaon Wong Kim,cancer survivorship and quality of life issues confronting Chinese immigrant breast cancer patients
Ga-Young. Choi,domestic violence/ intimate partner violence (IPV); secondary traumatic stress of helping professionals working with the survivors of IPV often in organizational contexts; and the wellbeing of ethnic minorities and immigrants focusing on Asian Americans and Pacific Islanders
Maria Y. Hernandez,"mental health disparities and culturally competent treatment for underserved groups. Her current research interests include consumer health informatics, use of social media to evaluate and disseminate mental health literacy, evaluations of technological tools to enhance patient and provider communication, and analysis of health policies impacting individuals living with serious mental illness"
Anh-Luu Huynh-Hohnbaum,"juvenile delinquency, parental incarceration, multiracial families and cross-cultural competency"
Siyon Rhee,"how systems-ecological factors including race/ethnicity, immigration, intergenerational disparities and multi-cultural practices influence health, mental health and families in the Asian American community"
Marah Curtis,"how policies designed to improve the quality and stability of housing, or, that regularize income are effective in doing so as well as meeting broader goals such as decreasing economic hardship"
John Eason,"Communities and Urban Sociology, Economic Sociology, Qualitative Methods, Race and Ethnic Studies, Rural Sociology"
Jooyoung Kong,"whether and how adults with a history of childhood maltreatment continue to be distressed, or victimized, in relationships with the parent(s) who abused and/or neglected them or in the process of providing care to their abusive parent(s). Using a daily diary framework, she also investigates how childhood maltreatment negatively affects daily interactions and experiences in adulthood, which can lead to long-term, cumulative health risks. Her work involves quantitative analyses of large-scale longitudinal surveys"
Tawandra L. Rowell-Cunsolo,"ways in which incarceration affects the health of vulnerable communities, especially in the areas of HIV risk behaviors and substance us"
Yang Xiong,"dimensions, mechanisms and effects of assimilation and political incorporation on immigrants and immigrant groups’ life chances, collective action, and influence in the United States. He has developed research along two closely connected lines of inquiry: 1) investigating how and to what extent immigrants’ unique contexts of exit from their country of origin and reception within the U.S. affect their educational attainment, socioeconomic mobility, community formation, health adaptation, and political capital acquisition; and 2) investigating how and to what extent immigrants and immigrant groups are able to enter into and engage with the U.S. political system, its institutions and its ideologies."
Vivien (Wen Li) Anthony,"addictions, with a focus on gaming disorder, problem Internet use, Internet gambling, and other problematic behaviors related to technology use. Specifically, her research explores the etiology and risk mechanisms of problem Internet and video game use, develops and validates measures for these problems, and develops and evaluates interventions that can ameliorate these problems among adolescents and young adults"
Qiana L. Brown,"substance use disorder epidemiology, maternal and child health, urban health, mental health, health disparities, social determinants of health, program evaluation, and prevention science"
Laura Cuesta,"family change, international approaches to child and family policy, and poverty and inequality"
Maxine Davis,Intimate Partner Violence/Abuse (IPV/A) Perpetration; Health/Wellbeing of Black/African American & Latinx Populations; Program Evaluation; Community Based Participatory Research; Culturally Relevant Psychometric Measurement; Social Policy
Antoinette Farmer,"parenting behavior, religion and spirituality, adolescent high risk behaviors, and the evaluation of social work practice"
Adrian Gale,"Black youth’s schooling experiences in general, and Black boys’ experiences in particular, contribute to the achievement gap"
Chien-Chung Huang,"international social work, nonprofit management and philanthropy, social welfare policy, poverty and welfare reform, and domestic violence"
Michael Myungkook Joo,"early childhood development, analyses of policies and programs designed to help low-income children, and effects of poverty and economic inequality on children's outcomes"
Woojin Jung,"Global poverty and international aid policy; artificial intelligence and spatial analysis for international development; data-intensive project design, outcome prediction, and impact evaluation; community development policy and practice; social welfare policy, focusing on income transfer, employment, and immigration"
Joy (Jeounghee) Kim,"low-wage work and nonstandard employment, direct care and service occupations, policy interventions for low-wage labor markets, and policy analysis"
Felix Muchomba,"gender inequality, social and economic development policy, and social determinants of health"
Abigail Williams-Butler,"understanding the developmental trajectories of children and adolescents in the child welfare and juvenile justice systems. She is particularly interested in using resilience science to identify mechanisms to promote positive developmental outcomes, examining the intersectional nature of child and adolescent development, and identifying innovative approaches towards trauma-informed care for children and youth involved in child-serving systems"
Shveta Kumaria,"pedagogy of clinical social work, research on clinician wisdom and influences that matter in early therapist training such as supervision and personal therapy"
Ora Nakash,"identifying the mechanisms that underlie mental health service disparities as a result of people's social and cultural background and develop evidence-based interventions to reduce the detrimental effects these inequalities have on individuals, families and society at large"
Marianne R.M. Yoshioka,"addiction, family therapy, HIV/AIDS, family violence in Asian communities, and the design and development of culturally tailored intervention"
Anamika Barman Adhikari,"HIV Prevention, Drug Use Prevention, Technology for Health, Social Network Analysis"
Michele D. Hanna,"child welfare, Foster Care, Adoption, culturally responsive practice, Racial & Ethnic Disproportionality & Disparities, higher education, race and ethnicity, Racial (in)justice, social justice"
Amy Sui Jun He,"child welfare, disparities, evidenced-based practice/implementation science, families and family systems, leadership and organizations, marginalized populations, mental and behavioral health"
Johnny Kim,"clinical social work, evidence-based practice/implementation science, intervention research, mental and behavioral health, school social work"
Marquisha Lawrence Scott,"ensuring that community and nonprofit organizations, especially religious congregations, are equipped to serve their identified communities (e.g. youth, marginalized communities)"
Miriam G. Valdovinos,"Culturally-responsive interventions addressing, intimate partner violence (IPV)experiences in Latina/xfamilies; Gender-based violence; Social service provisions and help-seeking for undocumented immigrants;feminist studies; community-based participatory research; qualitative methods"
Kaipeng Wang,"aging and gerontology, disparities, race and ethnicity, research methods"
Haksoon Ahn,"Child welfare and family welfare, Quality assurance (QA) and continuous quality improvement (CQI) in child welfare, Family-centered Practice (FCP), Foster parents, Welfare policy, poverty, inequality, Temporary Assistance for Needy Families (TANF), and child care, "
David Camacho,"Racial and sexual minority older adults’ physical and mental health in the US and Latin America, particularly: 1) chronic pain, 2) loneliness, 3) cognitive functioning, and 4) implementation science"
Christabel Cheung,Psychosocial oncology; adolescent and young adult (AYA) oncology; financial hardship; social determinants of health; health disparities; health equity; patient engagement in research; and embodied research
Jaih Craddock,Social Influences; Decision-making; Social Network Analysis; HIV/AIDS; Sexual Health within Black Communities; Sexual and Reproductive Health and Justice; Multimedia-based Intervention Development  
Nadine Finigan-Carr,"Public Health Social Work, Adolescent Risk Behaviors – sexual reproductive health, aggression and violence, substance use, Child Sex Trafficking, Parent Engagement"
Brenda Jones Harden,"Developmental and mental health needs of young children at environmental risk, including effects of trauma and poverty; child maltreatment; child welfare intervention; home visitation; early childhood intervention; parenting programs; prevention programs"
Ericka Lewis,"Child Neglect, Parent Training, Mental Health Services, Prevention Research, Implementation of Evidence-Based Interventions"
Nalini Negi,Migration; Substance Abuse; Mental Health of Latino Immigrants; Ethnic/Racial Identity; Culturally Competent Social Work Practice
Theda Rose,Adolescent Mental Health Promotion; Measurement of Adolescent Mental Wellbeing; School and Community-based Adolescent Mental Health Promotion Interventions; Positive Youth Development; Program Evaluation; Public Health Social Work
Wendy Shaia,Race and equity; Poverty and social justice; Black and African-American children with autism; Single parenting children of color; Organizational development.
Darren Whitfield,"HIV prevention, LGBTQ Health Disparities, Intersectionality, Racial/ethnic Disparities"
Kyndra Cleveland,"Improving Juvenile Dependency practice, policy, and decision-making by promoting fair practices, participant voice, family-based outcomes, and social justice"
Valire Copeland,"African American Women, Children, and Youth, Health and Mental Health Disparities, Social Determinants of Health, Integrated Behavioral Health Care, Social Work Practice in Healthcare Settings"
Victor Figuereo,"Latinx health and mental health disparities, Race, ethnicity, and racialization with Latinx populations, Access to healthcare and mental health care services among Latinx populations"
James Huguley,"How culturally distinct socialization practices in African American families can positively impact academic and mental health outcomes, How school-based psychosocial interventions can improve the educational and mental health outcomes of youth in underresourced urban settings"
Deborah Moon,"Mental Health & Trauma, Prevention of Adverse Childhood Experiences (ACEs), Integrated health, Implementation science, Community-Engaged Research"
Fengyan Tang,"Productive and social engagement in later life, Well-being of caregivers for older adults, Individual and environmental impacts on aging experiences among older immigrants"
John Wallace,"Community-Based Participatory Research, Adolescent Problem Behaviors, Comprehensive Community Initiatives, Role of Faith-Based Organizations in Community Revitalization, Social Entrepreneurship, ESTREAM (entrepreneurship, science, tech, engineering, agriculture, math education), Social enterprises to create food secruity, Economic development"
Adrienne Baldwin-White,"Sexual violence and assault prevention program development and evaluation, psychometric development of instruments related to sexual assault, sexual violence screening instrument development, practitioner self-efficacy and burnout"
Leon Banks,"African Americans, non-custodial fathers"
Javier F. Boyas,Effective intervention and prevention programs that will lessen and ultimately eradicate health disparities among Latinx populations
Rosalyn Denise Campbell,"Black American mental health, help-seeking and mental health service utilization, mental health disparities, stigma"
Y. Joon Choi,"Domestic violence and substance abuse among immigrant and minority women, especially development, implementation, and evaluation of socio-culturally appropriate community intervention/prevention strategies, health disparities, family and adjustment issues of immigrants and refugees, international social work, community-based research, HIV/AIDS, substance abuse"
Llewellyn J. Cornelius,"Racial/ethnic health disparities, research methods, social determinants of health, development of change interventions, examination of barriers to the adoption of interventions"
Tony B. Lowe,"International Social Work, Barriers to Service, Mental Health Service"
David Okech,"Evidence-informed programs and policies for victims and survivors of sex and labor trafficking, community development, mechanisms for building household and community assets that have long-term benefits to vulnerable children, cross-national development and validation of instruments to identify and assist suspected trafficking survivors, the long-term impacts of the trafficking experience among survivors of trafficking"
Michael A. Robinson,"African American health and well-being, health disparities in underserved populations, social work education"
Tiffany Washington,"Dementia caregiving , disease self-management in older adults, health disparities in chronic kidney disease , implementation science and intervention research"
Samira Ali,"HIV risk and prevention,
Structural determininants of health,
Family-based interventions,
Global social work,
Methods: Mixed methods, community-based participatory research"
Juan Barthelemy,"community capacity building, violence intervention development and implementation, and monitoring the effects of group violence reduction strategies on homicides and other violent crimes"
Reiko Boyd,"Racial/ethnic disparities in children's service systems,
Structural inequality and opportunity in African American communities,
Infant/adolescent health and well-being, 
Youth emancipating from foster care,
Social determinants of health"
Monit Cheung,"child sexual abuse, elderly Chinese immigrants and their service needs, immigrant adjustment, child protective service training, creative family therapy, and therapeutic touch, and other clinical social work practice"
Sheara Jennings,"prevent teen pregnancy, promote healthy marriage and/or relationships, and to empower families to influence and promote positive life course outcomes for their children, interrelatedness of minority (African-American and Hispanic) children’s behavior, social skills and family factors regarding their school readiness and academic achievement; limited English proficiency as an acculturative stressor; and secondary data analysis with large scale data sets"
Charles Lea,"Young Black Men and Boys, 
Racial Equity,
Positive Youth Development,
Structural, Social, and Cultural Determinants of Health,
Risk and Resilience,
Substance Use and HIV Prevention,
Qualitative Methodology,
Program Evaluation,
Youth and Community-Based Participatory Research"
Patrick Leung,Children and family; mental health; HIV and AIDS; refugee population; Asian study; elderly
Christina Miyawaki,"Health disparities among older adults of color; health and acculturation, with a focus on immigrant caregivers of older adults; association of race and ethnicity with older adults’ health; health promotion and healthy aging"
Quenette Walton,"Mental health and mental health disparities among Black women across the life course,
SES as a social determinant of mental health, 
The Black middle class,
Black women's wellness and well-being,
Life course,
Race, class, and gender,
Qualitative research"
Flávia Andrade,"Demography, population health, health inequalities"
Rosalba Hernandez,"cardiovascular health, Hispanics/Latinos, psychological well-being"
Tuyet Mai Hoang,"investigate psychological factors that maintain systemic racial inequity that impact health and wellbeing, and address health disparities to increase culturally responsive access and service delivery for Black, Indigenous, and People of Color (BIPOC), Women of Color in areas such as cancer survivorship, maternal mental health, and mistreatment as well as the experiences of Youth of Color with online discrimination"
Hyunil Kim,improve the safety and welfare of children and directly enhance our ability to address child abuse and neglect (CAN)
Moses Okumu,"prevention of gender-based violence among youth facing multiple forms of adversity in Uganda, gender-transformative approaches and strength-based interventions related to men’s sexual and mental health, collaborative and community-based participatory methods "
Lissette Piedra,"Latino immigrants: (1) the mental health service barriers created by linguistic and cultural incongruence, (2) the increased need for bilingual and interpretational services in communities with rapidly growing immigrant populations, and (3) the adaption of interventions to these new service contexts through university and community partnerships"
Kevin Tan,"understanding profiles of youth risk and protective factors, developmental patterns of problems behaviors, and their social contextual influences, person-oriented developmental psychopathology perspective"
Ryan Wade,"social determinants of health and health disparity among LGBTQ people of color, psychological health outcomes (e.g., depression, anxiety, self-esteem), sexual health and well-being among this population"
Chi-Fang Wu,"poverty, social welfare policy, the impact of welfare reform on low-income families, access to public benefits and support services for low-income families, and program evaluation, (1) the effects of financial sanctions on the well-being of welfare participants; (2) access to public benefits and related supports for low-income families; and (3) the long-term employment and earnings trajectories of at-risk families"
Min Zhan,"identifying social policies and other factors associated with the long-term economic well-being of low-income families with children,  impact of educational approaches, specifically in the forms of postsecondary education and financial management training, on the long-term economic well-being of low-income families, role of asset development, an approach that aims to develop human capital and to promote economic security for low-income families through facilitating their financial asset accumulation"
‪Matt Ignacio‬,"public health, sexual minority young men, Black, Latino, and Indigenous communities"
Kristina Lopez,"Ecological and socio-cultural perspectives on developmental disabilities and early intervention; development, implementation, and evaluation of culturally informed autism intervention; racial and ethnic disparities in child and mother mental health; Latinx children and families; DisCrit, LatCrit."
Flavio Marsiglia,"health equity research; youth drug abuse prevention; Latinx health; culturally grounded social work practice, Latinx emphasis; global health"
Natasha Mendoza,"substance use and co-occurring disorders, physical health, identity (e.g., gender, cultural, sexual), and connecting service systems (i.e., crisis response, healthcare, criminal justice, child welfare)"
Felicia Mitchell,"Environmental and Health Equity for Black, Indigenous, Communities of Color (BIPOC), Environmental Change Impacts on Health; Chronic Health Inequities, Relational (Non-Material) Aspects of Water; Water Insecurity in Indigenous Communities, Community-Based Participatory Research (CBPR); Photovoice, Racial & Ethnic Diversity, Equity, and Inclusion in Social Work Education and Research"
Ijeoma Ogbonnaya,Intimate Partner Violence; Child Welfare; Family Violence; HIV Prevention; Racial & Ethnic Disparities 
Hyunsung Oh,"evidence-based culturally congruent interventions to mitigate negative impacts of structural inequities disproportionately affecting Latinx and other health disparities groups in the Southwest region of the United States, social determinant of health (SDOH) in explaining gaps in health outcomes and access to health care burdening racial/ethnic minorities and immigrants"
Stephanie Pena,"Critical Race Theory and Latino/a Critical Race Theory, Chicana Feminism, Latinx student achievement, Parent involvement and school attachment, Subsidized and public housing"
Mee Young Um,"identifying social and cultural determinants (e.g., trauma, discrimination, acculturation, intimate partner violence) of behavioral health among refugees and immigrants, systems science approaches, such as social network analysis and artificial intelligence analytics, and interdisciplinary research to inform the development of optimal interventions for fostering social integration and the behavioral health of these marginalized populations"
Qi Wu,"Child maltreatment prevention in different communities and cultural settings, The ecological, family, and individual risk factors for child maltreatment, The complex effects of out-of-home placements on child mental and behavioral health,  "
Shiyou Wu,"Social determinants of behavioral health(e.g., substance use, depression), Interventions to reduce health and social disparities, Global development of social work, Advancing research methods in social work "
Samuel Aymer,"Intimate Partner Abuse, Trauma/Community Violence, Mental Health/Clinical Practice, Application of Psychodynamic Theories in Clinical Practice with Diverse Client Populations, Clinical Practice with Men and Adolescent Males"
Robyn Brown-Manning,"African American families and networks of care, emotional and social experiences of African American mothers raising young men under conditions of structural inequality"
Keith T Chan,"Social determinants of health, Asian Americans, Older adults, Immigrants, Mental Health, Disability, Substance Use, Population Health"
Patricia Dempsey,"Child Abuse and Neglect Treatment and Prevention, Adolescent Partner Violence, Teen Pregnancy and Prevention, Clinical Practice with Urban Youth and Families, Adolescent Sexuality"
Geetha Gopalan,"(1) identifying needs and challenges of families involved in child welfare and child mental health services which could impact service utilization and effectiveness, (2) developing, implementing, and evaluating interventions designed to promote child mental health and family functioning, and (3) investigating interventions and services integrating peer support"
Alexis Jemal,"participatory action research methods to develop multi-level health and justice interventions, which address systemic inequity (e.g., racism) and its outcomes (e.g., trauma, community violence, drug use, HIV/STI risk, shame) among African Americans"
Rufina Lee,Development and implementation of EBPs in mental health settings including Coordinated Specialty Care for First Episode Psychosis and Critical
MICHAEL A. LEWIS,"Quantitative Methods, Social Policy, Civic Engagement"
Anna Ortega-Williams,"Historical trauma and systemic violence recovery among Black youth, Post-traumatic growth and social action, Peer-led mental health and collective wellbeing approaches among youth, Anti-oppressive and anti-racist social work practice and youth development, Group work, Participatory program evaluation and participatory action research"
George Patterson,"Police Social Work, Stress and Coping Among Police Officers and Recruits, Criminal Justice"
Tricia Stephens,"The Effects of Historical and Contemporary Trauma on Mental Health Functioning for People of the African Diaspora
Child Welfare - The Intersection of Parental Trauma Exposure and Family Stability"
Willie F. Tolliver,"Qualitative Analysis, Narrative Analysis, Ethnography, Liberatory Healing Community Practice"
Rong Zhao,"Workforce and Employee Compensation of Human Service Organizations, Gender Dynamics in the Nonprofit Sector, Financial Sustainability of Human Service Organizations, Government and Nonprofit Collaboration in Service Delivery, Gender and Volunteerism"
Binta Alleyne-Green,"Impact of dating/relationship violence, Intersection of violence and HIV risk behaviors among inner-city minority adolescent females"
Sameena V. Azhar,"HIV, Gender and Sexuality; Health Equity; Substance Abuse Treatment; International Social Work; Public Health Social Work; Grief and Bereavement; Criminal Justice and Mental Health; Postcolonial Studies; Sexual Trauma Treatment"
Fuhua Zhai,"Early childhood education and developmental outcomes
Impacts of early interventions and school environment
Child maltreatment and child welfare
Cultural values, child rearing practices, and child wellbeing
Cross-national studies on child and family policies
Experimental and statistical research methods"
Derek Tice-Brown,"Oppression and Resilience
Oppression and Health
Complementary Health Approaches
HIV/AIDS
LGBTQ+ Health"
Rahbel Rahman,"• Integration of health and welfare services
• Inter-professional and Interagency Collaboration
• Professional development of community based providers (peer educators, outreach workers, community health workers, syringe exchange workers)
• Community based participatory research
• International Social Work"
Rose Perez,"Immigration
Acculturation and emotional well-being
Adolescents and families
Hispanics"
Winnie W. Kung,
G. Lawrence Farmer,"Positive Youth Development
School Social Work Practice
Social and Emotional Development 
Measurement"
Chris Curtis,"Adolescent Mental Health
School Social Work"
Keith A. Alford,Culturally specific service delivery for special populations; the exploration of helping approaches in family mental health; rites of passage programming for adolescent African American males; kinship care and child welfare interventions.
Laina Y. Bay-Cheng,"Impact of interlocked misogyny, racism, and economic injustice on young women's sexual lives; age-based power and obstructions to youth sexual rights; critical sexuality and feminist theory and methods."
Isok Kim,Immigrants and refugees; refugee-related trauma; post-resettlement challenges; cultural competence/humility in interprofessional education; community-based participatory research
Wooksoo Kim,"Asian immigrants, Asian immigrant elders, and their mental health, alcohol use and gambling; immigration and acculturation; community-based research"
Nadine Shaanta Murshid,Microfinance; domestic violence; genocide; political violence; trauma; social movements
Yunju Nam,Social welfare policy; poverty and economic inequality; asset-building policies and programs; elderly immigrants; economic integration among immigrants and refugees
Kelly Patterson,"Housing policy, fair housing advocacy, subsidized housing, residential segregation and poverty, spatial issues and social service access/delivery, community-based housing organizations"
Maria Y. Rodriguez,"ethical implications of algorithmic decision-making in human services, child welfare; lived experience of marginalized communities as described on social media;  computational research methods"
Christopher St. Vil,Gender; trauma; violence; victimization; substance abuse
Noelle M. St. Vil,Interpersonal violence; black male-female relationships; man-sharing
Creasie Finney Hairston,"Impact of incarceration and community reentry on families and children
Social welfare policies and services for aging populations"
Henrika McCoy,"African American males
Mental health disorders
Children, adolescents, emerging adults
Cross-system youth"
Chang-ming Hsieh,"Quality of life, subjective well-being, life satisfaction,
client satisfaction of social services for older adults"
Shih-Ying Cheng,"Gender-based violence
Evidence-based practice
Recent immigrants"
Otima Doyle,"Familial risk and protective factors related to emotional and behavioral problems among culturally diverse, underserved youth
The role of fathers and co-parenting in the prevention of youth aggression, depression and suicide
The development and evaluation of prevention interventions with fathers and children"
Walter Gómez,"Substance use interventions for sexual minority men
Structural, social, and cultural barriers to HIV prevention interventions
Aging with HIV
Social and sexual networks
Social capital and social movements
Qualitative and mixed methods in social welfare
Syndemics, intersectionality, and stress and coping theories and frameworks"
Charles E. Hounmenou,"Human trafficking
Commercial sexual exploitation of children
Human rights of detainees and immigrants"
Annette Johnson,"Children’s Mental Health
Social and Emotional Learning
Clinical Practice in Schools"
Branden A. McLeod,"Fatherhood among Black fathers and families
Reentry into society from incarceration
Criminal justice reform"
Michelle-Ann Rhoden Neita (published as Michelle-Ann Rhoden),"Educational and health outcomes of youth involved in the child welfare and justice systems
Trauma-informed care for youth and young adults with adverse childhood experiences
Biomarkers for psychological trauma
Community reintegration programs in faith-based settings"
Cleopatra Abdou,"What factors allow individuals, families, communities, and societies to be positive outliers; that is, to be healthy, happy, and successful against the odds? Health disparities, healthcare"
Devon Brooks,"child maltreatment, with a focus on racial and ethnic disparities in the permanency and mental health outcomes of children and families served by public child welfare agencies; risk assessment; assessment of formal and indigenous service needs and utilization; transracial adoption and racial matching policy; gay and lesbian adoption and foster care placements; family preservation; and child welfare innovations"
Alice Cepeda,"social epidemiology of drug use and the related health risk behaviors that disproportionately affect urban Mexican-origin minority populations, including violence, HIV/STI infection risks and mental health conditions"
Iris Chi,"elderly health and gerontology, and currently directs the China Program"
Robynn J.A. Cox,"crime, health, labor, housing, food insecurity, and social and racial inequality"
Yuri Jang,"positive adaptation in aging, health disparities, and minority health and service utilization"
B.K. Elizabeth Kim,"Translation Research
Delinquency/Violence
Social Policy
Schools
Children & Families
Social Development
Juvenile Justice
Prevention Science"
Jungeun Olivia Lee,"relationship among SES, adverse childhood experiences, substance use, and its comorbid mental health"
Karen Lincoln,"stress, aging, and mental health disparities"
Hans Oh,social determinants and health correlates of psychotic experiences
Shinyi Wu,"engineering approach to research that spans many social work applications, from health, behavioral health, mental health, aging, organization and management, to policy analysis and transformation"
"JAMIE L. CAGE.

","School Engagement, Educational Attainment, Child Welfare"
NICOLE A. CORLEY,"Black student achievement, Black mother-centered households, Racial socialization practices of Black mothers, Anti-oppressive social work research, practice, and education, The use of arts-based and socially engaged arts in social work"
MAURICE GATTIS,"health disparities; LGBT populations, homelessness; and adolescent risk behaviors in the Univted States and Canada"
HYOJIN IM,"Refugee trauma and mental health, community capacity and partnership building for refugee wellness, mental health and psychosocial support (MHPSS) for refugees, culturally responsive trauma-informed care"
KYEONGMO KIM,Aging and mental health; Neighborhoods and health; Mental health service use; End-of-life care; Racial and ethnic health disparities
Youngmi Kim,"Poverty and Economic Hardship, Food Insecurity, Adverse Childhood Experiences, Child Well-being, Financial Capability and Inclusive Asset Building Policy and Program"
Miriam Kuttikat,"Daily life stressors and family conflict that affect the health; and well-being of migrant families ; Social and cultural factors at individual, family and community levels that support migrant family resilience; The interface of acculturation; stress and poverty, racism and discrimination; The design and implementation of evidence based, culturally appropriate family-based health interventions that address; migrant families’ multi-dimensional needs, changes, and complexities overtime."
Sunny H. Shin,"adolescent and youth development, adverse childhood experiences, child abuse and neglect, child welfare, community-based participatory research, maternal and infant health, mental health, research design and measurements, substance misuse and addictive behaviors, violence against women and children"
AMY L. AI,"Cultural Diversity, Gerontology, Health Disparities, Healthcare, Medical Social Work, Mental Health, Mindfulness, Research Methods, Stress & Coping"
Norman Anderson,health disparities and mind/body health
Eugenia Flores Millender,"investigate ways to reduce mental health disparities by exploring how socio-cultural stressors and trauma influence transgenerational psychological and co-occurring physical illness through gene-environment interaction among vulnerable, undeserved, and marginalized populations"
La Tonya Noël,"Cultural Diversity, Culturally Competent Practice, Health Disparities, Healthcare, Medical Social Work, Mental Health & Substance Abuse, Race / Ethnicity"
Marquitta Dorsey,"Uses Black feminism and intersectionality as a theory to examine the role of antiblack systemic racism on sexual health disparities experienced by economically 
disadvantaged Black/African American adolescent and young adult females as they interact 
within and across health, education, child-welfare and justice systems; Explores 
various protective mechanisms, including the Black father/daughter relationship and other 
nuanced contextual factors as buffers to disparate sexual health outcomes; Uses mixed 
methodologies including grounded theory, thematic analysis, community-based participatory 
action, case study analysis and various regression models "
Rana Hong,Practice with children and adolescents; Psychological Self-Sufficiency-Youth; play therapy; EMDR
Caleb Kim,"Acculturation process of immigrant youth and family, Vulnerable minority youth violence prevention, Suicide prevention, Global social work education, Culturally competent social work practice"
Goutham M. Menon,"Social Work Education, Leadership & Innovation in Higher Education- Focus on Access & Affordability, ICT in Practice & Education, Distance Education, Corporate Social Responsibility & B-Corps"
Abha Rai,"Immigrant and refugee well-being, Exclusionary immigration policies,  Gender-based violence, Culturally responsive research, International/global social work, Survey development and instrument design"
Shweta Singh,"Mixed Method Measures for Women’s Identity, Schooling Outcomes and Processes in Globalization, School and Identity Development, Work and Migration and Health outcomes for women, Theoretical Exploration of Women’s Identity in Media and Religious Texts, Corporate and diaspora philanthropy"
Kay Jang,"Statistics, evedince-based practice, Korean older adults, knowledge management, xenotransplantation"
Wahiba Abu-Ras,"Arab Americans, Muslim communities, PTSD, 9/11, hate crimes, Muslim Americans, military personnel, college students and alcohol use, chaplains, gender discrimination"
Subadra Panchanadeswaran,"Violence, HIV/AIDS, substance use, IPV, sex work"
Katina Lang-Lindsey,"Transplants, behavioral intervention, health disparities, chronic renal insufficiency, per intervention, disease management education"
Chie Noyori-Corbett,"Women in distress and transition: Survival migration, livelihood, advocacy network, humanitarian innovation, female juvenile delinquency"
Jennifer Jettner,"food security, food justice, race and privilege"
Anupama Jacob,"Poverty, trauma-informed care, homeless families, school social workers, criminal justice, low-income families, social work education"
Regina Chow Trammel,"christian mildfulness, religiously oriented social workers"
Carol Leung,"mental health interventions, multicultural competencies, and translinguistic skills in clinical practice"
Camille Huggins,"Social exclusion, multiculturalism, older adults, migrants, death and grief"
Janella Melius,"social determinant, obesity, Latino and African Ancestry, Caribbean Americans"
Savitri Dixon-Saxon,psychosocial identity of African American women; intergenerational workplace dynamics; and leadership and mentoring in distance education
Felicia Tuggle,"adolescents, HBCUs, community partnerships, international social work"
Krista Cooper,"Immigrant health, sexual and reproductive health, intimate partner violence, immigration policy"
Andre P. Stevenson,"HBCUs, anti-racism, global learning, study abroad"
Monica Adams,"Health disparities
Overweight and obesity among low income populations
Policies and ethics impacting the obesogenic environment"
Suk-Young (John) Kang,"Depression and health status among Asian immigrant elders
Family caregiving
Social justice for immigrants and refugees
Depression among Asian Americans
Geriatric counseling"
Saumya Tripathi,
Dalhee Yoon,"Child maltreatment research
Peer relationships
Adolescent risk behaviors
Adolescent development"
Mamadou Mansor Seck,"Research on Youth; delinquency prevention and treatment programs; youth mental health; adult offenders diagnosed with mental health and co-occurring disorders; mental health of the elderly; pedagogy, andragogy, and learning."
Jonghyun Lee,"cross-cultural, mental illness, coping behaviors, depressive symptoms, cultural bound syndromes, immigrant and refugee populations in the United States, socially just and culturally sensitive social work practice"
Kendra Flores-Carter,"Health Disparities, Maternal Mortality Rates, Infant Mortality Rates, Effectiveness of Doulas for Birthing Mothers"
Krystal Hays,"Mental Health Promotion, Church-Based Interventions, African American Health, Health Disparities"
Cindy Vang,"improve the mental health of older refugees and immigrants by examining the experiences of aging, oppression, and cultural practices of resistance and resilience among Southeast Asian older adults and their families"
Adriana Aldana,an emphasis on youth sociopolitical empowerment. Her scholarship examines how participatory action research and multicultural organizing models build youths' capacity for anti-racism engagement
